Project Section,Task,Crew,Start Date,Duration,End Date,Day Completed,Completion PCT
Buildout,Dan Bajo Buildout -  Framing,Dan Bajo,3/18/24,8,3/25/24,0,0.00%
Buildout,Dan Bajo Buildout - Plumbing,Dan Bajo,3/22/24,5,3/29/24,0,0.00%
Buildout,Dan Bajo Buildout - HVAC,Dan Bajo,4/8/24,5,4/12/24,0,0.00%
Buildout,Dan Bajo Buildout - Electric,Dan Bajo,3/29/24,14,4/12/24,0,0.00%
Roaster,Install Loring ,Duane,2/16/24,6,2/23/24,6,100.00%
Roaster,Electric install for Loring,Duane,3/4/24,3,3/14/24,0,0.00%
Roaster,Cut roof penetrations for Loring / SF,Duane,3/14/24,2,3/15/24,0,0.00%
Roaster,Ship Loring Outlet,Duane,3/11/24,1,3/12/24,0,0.00%
Roaster,Install Loring Outlet,Duane,3/18/24,1,3/19/24,0,0.00%
Roaster,Install Plumbing for Loring,Duane,3/8/24,5,3/14/24,0,0.00%
Roaster, Install Torch Booster + Tie in Gas for Loring,Duane,3/18/24,1,3/19/24,0,0.00%
Post Roast,Ship Mixer,Duane,3/4/24,1,3/5/24,0,0.00%
Green Bean System,GB System - Run Electric and Compressed Air ,Duane,3/19/24,1,3/20/24,0,0.00%
Green Bean System,GB System - Locate Frame,Duane,3/11/24,5,3/15/24,0,0.00%
Green Bean System,GB System - Tie in Compressed Air and connections,Duane,3/20/24,1,3/21/24,0,0.00%
Green Bean System,Ship Chainvey,Duane,3/14/24,3,3/18/24,0,0.00%
Green Bean System,GB system - Recieve Chainvey,Duane,3/18/24,1,3/19/24,0,0.00%
Green Bean System,GB system - fabricate bins,Duane,2/26/24,24,3/20/24,4,16.67%
Green Bean System,GB system - Recieve + Install Bins,Duane,3/20/24,2,3/23/24,0,0.00%
Green Bean System,GB system - Controls,Duane,3/26/24,2,3/27/24,0,0.00%
Green Bean System,Jacob Tubing,Duane,3/25/24,2,3/26/24,0,0.00%
Green Bean System,Install Chainvey,Duane,3/25/24,5,3/29/24,0,0.00%
Post Roast,Install General Pack + Pneucon,Duane,4/1/24,5,4/5/24,0,0.00%
Post Roast,Ship MPE,Duane,3/25/24,1,3/26/24,0,0.00%
Post Roast,Install MPE Grinder + Pneucon,Duane,4/1/24,5,4/5/24,0,0.00%
Post Roast,Ship Weigh Right,Duane,3/25/24,1,3/26/24,0,0.00%
Post Roast,Install Weigh Right + Pneucon,Duane,4/1/24,5,4/5/24,0,0.00%
Post Roast,Install Air Compressor,Duane,3/21/24,1,3/22/24,0,0.00%
Roaster,Start up Loring,Duane,3/25/24,5,3/29/24,0,0.00%
Roaster,Relocate SF roaster,Duane,4/1/24,5,4/5/24,0,0.00%
Post Roast,Install Mixer with Pneucon,Duane,3/12/24,1,3/13/24,0,0.00%
Green Bean System,Start up GB system,Duane,4/8/24,5,4/12/24,0,0.00%
Green Bean System,Gb system - Wire Chainvey,Duane,4/1/24,5,4/5/24,0,0.00%
